Results of:	findByDate 6
- - - - - - - - - - - - - - - - - - - -

  41450604	BAGELS & CO         	18802 UNION TURNPIKE	Jewish/Kosher       	01/04/2016	 16
  41450604	BAGELS & CO         	18802 UNION TURNPIKE	Jewish/Kosher       	01/04/2016	 16
  41450604	BAGELS & CO         	18802 UNION TURNPIKE	Jewish/Kosher       	01/04/2016	 16
  41451984	FAITHY'S KITCHEN    	3907 DYRE AVENUE    	Caribbean           	01/04/2016	   
  41451984	FAITHY'S KITCHEN    	3907 DYRE AVENUE    	Caribbean           	01/04/2016	 20
  41451984	FAITHY'S KITCHEN    	3907 DYRE AVENUE    	Caribbean           	01/04/2016	 20
  41451984	FAITHY'S KITCHEN    	3907 DYRE AVENUE    	Caribbean           	01/04/2016	 20
  41471288	THAT SUSHI SPOT     	2462 NOSTRAND AVENUE	Japanese            	01/04/2016	  9
  41471288	THAT SUSHI SPOT     	2462 NOSTRAND AVENUE	Japanese            	01/04/2016	  9
  41471528	DRAGON STAR         	4216 WHITE PLAINS RO	Chinese             	01/04/2016	 12
  41471528	DRAGON STAR         	4216 WHITE PLAINS RO	Chinese             	01/04/2016	 12
  41471993	NEW MEI MEI CHINESE 	3566 NOSTRAND AVENUE	Chinese             	01/04/2016	  6
  41480486	FUJIYAMA            	1466 1 AVENUE       	Japanese            	01/04/2016	 27
  41480486	FUJIYAMA            	1466 1 AVENUE       	Japanese            	01/04/2016	 27
  41480486	FUJIYAMA            	1466 1 AVENUE       	Japanese            	01/04/2016	 27
  41480486	FUJIYAMA            	1466 1 AVENUE       	Japanese            	01/04/2016	 27
  41497301	CAFE GLECHIK OF SHEE	1655 SHEEPSHEAD BAY 	Russian             	01/04/2016	 48
  41497301	CAFE GLECHIK OF SHEE	1655 SHEEPSHEAD BAY 	Russian             	01/04/2016	 48
  41497301	CAFE GLECHIK OF SHEE	1655 SHEEPSHEAD BAY 	Russian             	01/04/2016	 48
  41497301	CAFE GLECHIK OF SHEE	1655 SHEEPSHEAD BAY 	Russian             	01/04/2016	 48
  41497301	CAFE GLECHIK OF SHEE	1655 SHEEPSHEAD BAY 	Russian             	01/04/2016	 48
  41497301	CAFE GLECHIK OF SHEE	1655 SHEEPSHEAD BAY 	Russian             	01/04/2016	 48
  41497301	CAFE GLECHIK OF SHEE	1655 SHEEPSHEAD BAY 	Russian             	01/04/2016	 48
  41497301	CAFE GLECHIK OF SHEE	1655 SHEEPSHEAD BAY 	Russian             	01/04/2016	 48
  41497301	CAFE GLECHIK OF SHEE	1655 SHEEPSHEAD BAY 	Russian             	01/04/2016	 48
  41497301	CAFE GLECHIK OF SHEE	1655 SHEEPSHEAD BAY 	Russian             	01/04/2016	 48
  41503007	ARGO TEA CAFE       	75 UNIVERSITY PLACE 	Caf̩/Coffee/Tea    	01/04/2016	 35
  41503007	ARGO TEA CAFE       	75 UNIVERSITY PLACE 	Caf̩/Coffee/Tea    	01/04/2016	 35
  41503007	ARGO TEA CAFE       	75 UNIVERSITY PLACE 	Caf̩/Coffee/Tea    	01/04/2016	 35
  41503714	MISS KOREA          	10 WEST 32 STREET   	Korean              	01/04/2016	 19
